ID,WORD,LABEL,BASE_YEAR,RATING,ASSESSOR1,ASSESSOR2,ASSESSOR3,ASSESSOR_MEAN,GROUND_TRUTH
0,железный_ADJ,1,2006,9,0,1,0,0.3333333333333333,0
1,подземный_ADJ,0,2009,-1,0,1,1,0.6666666666666666,1
2,катарский_ADJ,1,2003,3,1,0,2,1.0,1
3,гуманитарный_ADJ,0,2005,-1,0,0,0,0.0,0
4,капитальный_ADJ,0,2012,-1,0,0,0,0.0,0
5,норильский_ADJ,1,2006,6,0,0,0,0.0,0
6,саяно-шушенский_ADJ,1,2008,1,2,2,2,2.0,2
7,неназванный_ADJ,0,2002,-1,0,0,0,0.0,0
8,непризнанный_ADJ,1,2008,5,1,0,2,1.0,1
9,грузинский_ADJ,0,2011,-1,1,0,1,0.6666666666666666,1
10,непосредственный_ADJ,0,2008,-1,0,0,0,0.0,0
11,классный_ADJ,0,2005,-1,0,0,0,0.0,0
12,грозный_ADJ,0,2001,-1,0,1,1,0.6666666666666666,1
13,бразильский_ADJ,1,2001,10,0,0,0,0.0,0
14,приднестровский_ADJ,1,2011,7,1,1,2,1.3333333333333333,1
15,водительский_ADJ,0,2011,-1,0,0,0,0.0,0
16,круглый_ADJ,1,2004,9,0,0,0,0.0,0
17,греческий_ADJ,1,2009,3,1,2,2,1.6666666666666667,2
18,шиитский_ADJ,0,2003,-1,1,0,2,1.0,1
19,луганский_ADJ,1,2013,2,2,2,2,2.0,2
20,сотовый_ADJ,0,2007,-1,0,0,0,0.0,0
21,игорный_ADJ,1,2010,2,2,1,2,1.6666666666666667,2
22,подконтрольный_ADJ,0,2005,-1,0,0,0,0.0,0
23,скорый_ADJ,0,2002,-1,0,0,1,0.3333333333333333,0
24,итоговый_ADJ,0,2008,-1,0,0,1,0.3333333333333333,0
25,осетинский_ADJ,1,2008,10,1,0,0,0.3333333333333333,0
26,топливный_ADJ,0,2007,-1,0,0,0,0.0,0
27,цветной_ADJ,0,2006,-1,1,0,1,0.6666666666666666,1
28,трансферный_ADJ,0,2008,-1,0,0,0,0.0,0
29,экспертный_ADJ,0,2001,-1,0,0,0,0.0,0
30,киргизский_ADJ,1,2004,1,0,1,1,0.6666666666666666,1
31,полевой_ADJ,1,2007,9,1,0,0,0.3333333333333333,0
32,рязанский_ADJ,0,2011,-1,0,1,0,0.3333333333333333,0
33,персональный_ADJ,0,2001,-1,0,0,0,0.0,0
34,смешной_ADJ,0,2001,-1,0,0,0,0.0,0
35,радиоактивный_ADJ,0,2000,-1,0,0,1,0.3333333333333333,0
36,приемный_ADJ,1,2013,5,2,2,2,2.0,2
37,принятый_ADJ,0,2008,-1,0,0,0,0.0,0
38,несогласный_ADJ,1,2006,7,2,1,2,1.6666666666666667,2
39,ручной_ADJ,1,2000,3,0,0,0,0.0,0
40,круглый_ADJ,1,2011,6,0,0,0,0.0,0
41,казанский_ADJ,0,2009,-1,0,0,1,0.3333333333333333,0
42,грозный_ADJ,1,2000,8,1,0,1,0.6666666666666666,1
43,рейтинговый_ADJ,1,2012,10,0,1,2,1.0,1
44,католический_ADJ,1,2001,8,2,2,2,2.0,2
45,приемный_ADJ,1,2007,5,2,0,1,1.0,1
46,убедительный_ADJ,0,2003,-1,0,0,0,0.0,0
47,сборная_ADJ,0,2002,-1,0,0,0,0.0,0
48,полномочный_ADJ,0,2003,-1,0,0,0,0.0,0
49,басманный_ADJ,1,2006,5,1,1,2,1.3333333333333333,1
50,екатеринбургский_ADJ,0,2010,-1,0,0,0,0.0,0
51,норвежский_ADJ,1,2004,7,1,0,2,1.0,1
